Codi;Nom;Import;"Venciments Impagats";"Primer venciment impagat";Gestor;"Data última gestió";"Última gestió"
1661;"SOCIEDAD DE SERVICIOS LOGISTICOS SDA CENTRAL,S.L.                                                   ";144,56;2;31/08/2024;;;
183537;"MEDTRONIC IBERICA SA                                                                                ";210,37;1;30/07/2024;;;
287144;"PROFIX EUROPE SL                                                                                    ";3362,93;5;31/07/2024;"Anna Maria Mateo    ";22/07/2024;"GESTIO DE COBRO"
128965;"KUCOVER,S.L.U.                                                                                      ";26,26;2;31/07/2024;"Anna Maria Mateo    ";21/07/2025;"GESTIO DE COBRO"
182751;"BAJOZERO2014,S.L.                                                                                   ";27,70;1;31/07/2024;;;
284887;"CBL ILLESCAS 281                                                                                    ";218,16;2;30/11/2024;"Anna Maria Mateo    ";25/02/2025;"GESTIO DE COBRO"
284345;"AVATON AC2D SLU                                                                                     ";2208,22;12;31/08/2024;"Anna Maria Mateo    ";19/08/2024;"gestion de cobro"
3914;"AUTO STOP,S.L.                                                                                      ";1956,82;4;31/08/2024;"Anna Maria Mateo    ";25/11/2024;"GESTIO DE COBRO"
281899;"ARAP S.A.U / BETZINERES ESSO                                                                        ";98,76;3;31/08/2024;"Anna Maria Mateo    ";31/10/2024;"gestio de cobro"
125356;"VIA CATALANA,S.L.                                                                                   ";750,00;1;31/10/2024;"Anna Maria Mateo    ";19/08/2025;"gestio de cobro"
285811;"PEÑACOBA VALENCIA,S.L.                                                                              ";400,00;1;15/10/2024;"Joana Zamora        ";30/07/2025;"Factura pendent"
283665;"ATECI                                                                                               ";253,88;1;31/07/2024;"Anna Maria Mateo    ";18/10/2024;"GESTIO DE COBRO"
281752;"GUESS ANDORRA                                                                                       ";4609,78;6;30/09/2024;"Anna Maria Mateo    ";06/09/2024;"GESTIO DE COBRO"
126023;"CONCEPTOQ INDUSTRIA SLU                                                                             ";552,22;3;27/06/2025;"Anna Maria Mateo    ";13/01/2025;"SISPLAU, QUAN TINGUIS UN MOMENT POTS MIRAR AQUESTA EXP. QUAN PUGUI. GRÀCIES."
4162;"DAPA,S.L.                                                                                           ";45,81;2;30/10/2024;"Anna Maria Mateo    ";28/04/2023;"GESTIO DE COBRO"
185130;"CORAL TRANSPORTS CENTRO INSULAR SL                                                                  ";33,10;2;31/12/2024;"Anna Maria Mateo    ";03/01/2025;"GESTIO DE COBRO"
284030;"VERY N'ICE S.L.                                                                                     ";108,23;1;30/11/2024;"Anna Maria Mateo    ";25/03/2025;"gestio de cobro sepa"
500444;"PERSIANES MAZON S.L.                                                                                ";1368,19;9;30/12/2024;"Josep Pereiro       ";21/03/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 241,23 EUR"
324;"LVMH IBERIA, S.L.                                                                                   ";125,00;3;23/12/2024;"Anna Maria Mateo    ";13/02/2025;"GESTIO DE COBRO"
3798;"CONSTRUCCIONS I TREBALLS PUBLICS LA COMA,S.L.                                                       ";51,84;1;30/11/2024;;;
5767;"FARMACIA SANT ERMENGOL                                                                              ";22,63;1;30/11/2024;;;
5785;"HOTEL HESPERIA ANDORRA LA VELLA (ALIAT)                                                             ";51,84;1;30/11/2024;;;
128291;"CENTRE COMERCIAL EL NOU PUNT,S.L.U.-EPIZEN                                                          ";-45,78;2;25/02/2023;"Anna Maria Mateo    ";05/07/2023;"gestio de cobro"
4066;"HOTEL PLAZA                                                                                         ";33,19;1;15/02/2025;"Anna Maria Mateo    ";02/04/2024;"gestio de cobro"
285258;"TALLER BARRIO,S.L.-SERGIO RUBIO GARCIA                                                              ";206,35;3;31/05/2025;"Anna Maria Mateo    ";13/02/2025;"GESTIO DE COBRO"
4363;"DB SCHENKER GIRONA                                                                                  ";144,17;3;26/07/2025;;;
281695;"FRANCESC PEDRAZA BAGUR - ERAND ENERGIES RENOVABLES                                                  ";319,32;2;28/02/2025;"Anna Maria Mateo    ";03/03/2025;"sol.licitut dades bancaries"
287559;"CUVO FOODS, S.L.                                                                                    ";28,32;1;28/02/2025;;;
281862;"SURF ARINSAL                                                                                        ";1313,63;7;31/07/2025;"Didac Melsion       ";24/11/2023;"410 - GESTIONS DE COBRAMENT EXPEDICIO. IMPORT A COBRAR: 544.14"
286584;"HIFE ANDORRA-AUTOCARS ANDORRA 2011, S.L.                                                            ";162,97;2;30/05/2025;;;
182499;"TXT CENTRAL NETWORK SERVICIOS,S.L.                                                                  ";-911,17;2;29/02/2024;"Merce munoz         ";13/10/2023;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 101,12 EUR"
100116;"MULTI SERVEIS INTEGRALS 01,S.L.                                                                     ";235,13;1;28/02/2025;"Anna Maria Mateo    ";19/08/2025;"GESTIO DE COBRO"
125587;"PROLAB FOTO I+D,S.L.                                                                                ";179,32;4;28/02/2025;"Anna Maria Mateo    ";17/03/2025;"gestio de cobro retorn"
280951;"CIMERA S.L. (CELLAB)                                                                                ";1211,27;2;14/08/2025;"Anna Maria Mateo    ";18/01/2024;"gestio de cobro"
5817;"DB SCHENKER VIC / JOVITRANS                                                                         ";-23,19;2;26/05/2025;"Josep Pereiro       ";04/08/2025;"410 - DESPESES A COBRAR AL DESTINATARI. IMPORT A COBRAR: 192,58 EUR"
286609;"MINISTERI D'AFERS EXTERIORS                                                                         ";463,59;1;31/05/2025;;;
3863;"ENSISA                                                                                              ";-512,76;4;10/06/2025;"Anna Maria Mateo    ";12/11/2024;"GESTIO DE COBRO"
4185;"FAMAGUSTA, S.L.                                                                                     ";78,91;6;31/05/2025;"Anna Maria Mateo    ";19/08/2025;"gestio de cobro"
281507;"RESTAURANT MCDONALD'S ANDORRA LA VELLA                                                              ";21,18;1;25/05/2025;;;
